employee_id,name,department,current_role,target_role,is_high_potential,kpi_score,training_hours,exam_score,manager_score,peer_score,team_satisfaction,technical_problem_solving,project_difficulty,cross_functional_collaboration,mentoring,knowledge_sharing,conflict_resolution,organizational_judgment,employee_relations,business_support,data_analysis,management_evidence,fairness_score
E001,张晨光,技术平台,高级工程师,团队管理者,True,94,36,82,86,78,56,82,78,68,60,58,55,57,50,62,66,48,61
E002,李若瑶,数据智能,算法工程师,技术负责人,False,78,58,88,83,91,84,88,90,92,80,86,76,82,70,78,85,72,78
E003,王启航,产品运营,运营专家,团队管理者,True,66,72,79,82,88,80,62,75,91,86,84,78,81,69,82,73,62,55
E004,陈思远,支付技术,高级工程师,技术负责人,False,88,46,86,89,84,78,96,94,82,74,78,70,76,60,68,76,70,82
E005,赵一宁,客户体验,员工关系专家,HRBP,False,82,64,84,86,87,88,64,72,86,72,75,84,86,92,88,79,78,80
E006,刘子墨,企业效能,培训发展专员,HRBP,True,74,92,91,80,85,82,58,70,83,90,88,76,84,80,86,82,72,69
E007,周雨桐,营销增长,资深销售,团队管理者,False,91,28,76,84,69,52,61,68,63,48,52,50,54,56,74,62,55,50
E008,孙嘉言,技术平台,工程师,技术负责人,True,70,80,87,76,90,86,87,85,90,88,92,82,84,66,72,80,71,58
E009,郑可欣,人力资源,员工关系专员,HRBP,False,85,68,88,87,86,90,56,68,82,78,80,90,88,94,86,84,82,83
E010,马骁,供应链,项目经理,团队管理者,False,83,44,81,84,82,75,70,86,93,79,76,72,80,68,84,78,74,76
E011,黄梓涵,财务共享,数据分析师,HRBP,False,79,52,90,75,72,64,68,74,70,56,62,58,66,52,61,95,54,66
E012,林泽宇,研发效能,高级工程师,技术负责人,False,86,22,80,74,70,72,80,88,55,40,46,60,68,52,58,77,61,64
E013,何清岚,客户成功,客户成功经理,团队管理者,False,84,56,83,88,89,88,66,78,86,82,80,84,86,78,88,74,84,85
E014,许安然,组织发展,OD专员,HRBP,True,76,96,92,85,88,86,60,76,88,92,90,82,91,86,84,80,78,73
E015,唐嘉懿,安全合规,安全工程师,技术负责人,False,82,42,84,81,83,77,92,91,76,70,72,86,82,62,66,78,68,74
E016,魏明哲,产品平台,产品经理,团队管理者,True,73,62,82,79,86,69,72,80,91,84,82,76,79,70,84,76,58,60
